date	DEPO1010_21498	DEPO1010_22983	DEPO1200_11395	DEPO1200_11417	DEPO1200_12094	DEPO1200_13187	DEPO1201_10271	DEPO1201_10272	DEPO1204_11407	DEPO1204_11409	DEPO1204_11413	DEPO1204_11416	DEPO1204_22817	DEPO1206_14889	DEPO1206_14890	DEPO1206_14892	DEPO1206_14895	DEPO1206_23422	DEPO1207_10273	DEPO1207_10274	DEPO1207_11127	DEPO1207_11128	DEPO1208_11397	DEPO1208_13137	DEPO1212_10099	DEPO1212_10100	DEPO1213_25976	DEPO1213_25981	DEPO1213_25982	DEPO1213_25983	DEPO1214_14903	DEPO1214_14904	DEPO1217_10291	DEPO1217_10292	DEPO1218_10293	DEPO1218_10294	DEPO1218_10295	DEPO1218_10296	DEPO1218_10297	DEPO1218_10298	DEPO1218_10299	DEPO1218_10300	DEPO1218_10301	DEPO1218_10302	DEPO1218_10663	DEPO1218_11210	DEPO1219_10185	DEPO1219_10310	DEPO1219_10312	DEPO1219_10314	DEPO1219_10315	DEPO1219_10316	DEPO1219_10317	DEPO1219_10318	DEPO1219_10320	DEPO1219_10321	DEPO1219_10322	DEPO1219_10325	DEPO1219_10326	DEPO1220_14911	DEPO1220_14913	DEPO1220_14915	DEPO1220_14917	DEPO1220_23299	DEPO1221_10277	DEPO1221_10278	DEPO1222_11629	DEPO1222_13215	DEPO1224_10275	DEPO1224_10276	DEPO1225_14897	DEPO1226_10194	DEPO1226_10203	DEPO1227_11418	DEPO1227_12103	DEPO1227_13135	DEPO1227_13136	DEPO1228_10664	DEPO1229_10494	DEPO1229_10495	DEPO1229_10496	DEPO1230_10531	DEPO1230_10532	DEPO1230_10533	DEPO1230_10534	DEPO1230_10535	DEPO1230_11592	DEPO1230_11593	DEPO1230_11594	DEPO1231_10591	DEPO1231_10661	DEPO1232_10592	DEPO1233_10593	DEPO1233_10662	DEPO1233_13181	DEPO1235_10681	DEPO1235_10739	DEPO1235_11612	DEPO1235_16662	DEPO1235_27583	DEPO1236_10972	DEPO1236_10989	DEPO1240_12014	DEPO1240_12099	DEPO1242_11931	DEPO1242_11932	DEPO1242_25934	DEPO1243_11129	DEPO1243_11130	DEPO1245_27529	DEPO1245_27778	DEPO1245_28538	DEPO1255_11300	DEPO1255_11493	DEPO1255_11494	DEPO1255_15222	DEPO1256_12015	DEPO1256_12096	DEPO1256_20543	DEPO1990_12016	DEPO2202_12017	DEPO2202_12105	DEPO2240_28354	DEPO2240_28355	DEPO2246_28357	DEPO3100_10280	DEPO3100_10744	DEPO3101_10424	DEPO3101_10425	DEPO3102_10745	DEPO3102_13268	DEPO3103_10284	DEPO3103_10991	DEPO3103_11499	DEPO3103_13189	DEPO3104_28352	DEPO3104_28353	DEPO3105_10285	DEPO3105_11449	DEPO3106_14905	DEPO3106_14906	DEPO3106_14908	DEPO3106_14910	DEPO3107_10594	DEPO3107_10746	DEPO3107_13240	DEPO3108_10595	DEPO3109_28356	DEPO3110_12019	DEPO3114_12020	DEPO3248_11133	DEPO3248_11134	DEPO3248_11135	DEPO3248_11136	DEPO3248_11137	DEPO3248_11138	DEPO3248_11139	DEPO3248_11140	DEPO3248_11141	DEPO3248_11142	DEPO3308_10726	DEPO3401_12104	DEPO3401_23388	DEPO3402_21500	DEPO3402_22936
1707240824	15	10	49	49	50	49	25	25	12	12	11	9	12	50	50	48	49	50	30	29	30	29	50	50	22	22	40	60	59	59	20	20	25	25	12	12	10	15	12	10	13	14	12	12	10	15	12	12	12	11	12	12	12	12	12	12	11	12	12	30	35	40	39	38	38	39	39	40	19	19	24	25	24	39	40	38	36	0	48	46	50	12	11	12	12	12	12	12	11	35	34	30	25	23	23	24	25	25	25	25	20	20	6	6	25	25	0	30	30	30	30	30	30	29	30	30	36	40	38	59	20	20	5	6	40	0	0	0	0	0	0	40	40	0	40	0	0	0	0	6	5	0	6	0	0	0	0	0	0	0	8	7	8	8	8	8	8	8	7	8	0	0	20	0	0
1707240905	15	8	49	47	49	48	25	24	12	12	11	7	12	48	49	48	46	49	29	29	30	29	48	49	21	14	40	56	57	59	20	20	24	24	11	11	10	15	12	9	13	14	11	12	9	15	10	12	12	9	12	12	12	12	12	12	10	12	12	30	33	38	39	37	37	37	37	40	18	19	24	25	24	38	40	33	35	0	46	44	48	12	11	11	12	11	12	12	10	35	34	30	22	22	19	23	25	25	24	25	20	20	5	5	24	25	0	30	30	30	30	30	30	29	29	30	30	40	36	57	20	20	5	6	40	0	0	0	0	0	0	40	40	0	39	0	0	0	0	6	5	0	6	0	0	0	0	0	0	0	8	5	6	6	8	8	8	8	8	8	0	0	20	0	0
1707240930	12	5	47	47	49	47	25	23	12	12	11	5	12	45	49	48	45	49	28	29	30	29	47	45	16	10	38	56	55	55	20	19	21	24	11	11	8	14	12	9	13	13	10	12	9	13	10	12	12	8	11	12	12	12	11	11	10	12	12	30	27	38	38	37	35	35	32	40	19	18	24	25	24	38	40	28	32	0	46	42	47	12	11	11	12	12	12	12	10	35	33	29	19	20	17	23	25	25	23	25	20	20	4	5	24	25	0	30	30	30	30	30	29	29	28	30	28	40	33	55	20	20	5	6	39	0	0	0	0	0	0	38	38	0	39	0	0	0	0	5	5	0	6	0	0	0	0	0	0	0	7	5	6	6	7	8	8	8	6	6	0	0	20	0	0
1707240941	11	5	46	44	48	47	25	23	12	12	11	4	12	45	50	47	45	49	28	28	30	29	47	42	16	6	37	56	54	55	20	19	21	24	11	11	9	14	12	9	13	13	9	12	7	13	9	12	12	8	11	12	12	12	11	11	10	10	10	30	24	38	37	37	35	34	30	40	19	16	24	25	24	37	40	25	33	0	46	39	47	12	11	11	12	12	12	12	10	35	31	28	17	18	15	23	25	25	23	25	19	20	4	5	24	25	0	30	30	30	30	30	29	29	28	30	27	40	33	55	20	20	5	6	39	0	0	0	0	0	0	38	38	0	39	0	0	0	0	5	5	0	6	0	0	0	0	0	0	0	7	5	6	6	6	8	8	8	6	5	0	0	20	0	0
1707241000	11	5	46	44	47	47	25	23	12	12	11	4	12	44	50	47	45	49	27	28	30	29	47	42	17	6	37	56	53	54	20	19	21	24	11	11	8	14	12	9	13	13	8	12	8	13	9	12	12	8	10	12	12	12	11	11	10	10	10	30	22	37	37	37	34	34	29	40	19	16	23	25	24	37	39	25	34	0	46	39	47	12	11	11	12	12	12	12	9	35	31	28	17	18	15	23	25	25	23	25	19	20	4	5	25	25	0	30	30	30	30	30	29	29	28	30	27	40	32	55	20	20	5	6	39	0	0	0	0	0	0	38	39	0	39	0	0	0	0	5	5	0	6	0	0	0	0	0	0	0	6	5	5	6	6	8	8	8	6	4	0	0	20	0	0
1707241012	10	5	46	43	47	46	25	23	12	11	11	4	12	43	50	46	45	49	27	28	30	29	47	40	16	3	36	53	53	54	20	19	20	24	11	11	6	14	11	9	12	12	8	12	8	12	9	12	12	8	10	12	12	12	11	11	9	10	10	30	21	36	37	37	34	34	29	40	19	16	23	25	24	37	39	23	33	0	45	38	47	12	11	11	12	12	12	12	9	35	27	28	17	14	14	23	25	25	23	25	19	20	4	5	24	24	0	30	30	30	30	30	28	29	27	30	24	40	30	55	20	20	5	6	39	0	0	0	0	0	0	38	39	0	39	0	0	0	0	5	5	0	6	0	0	0	0	0	0	0	6	4	5	6	6	7	8	8	6	3	0	0	20	0	0
1707241023	10	5	46	42	47	46	25	23	12	11	11	3	12	43	50	46	45	49	27	28	30	29	47	39	14	3	36	53	52	54	20	19	19	24	11	11	6	14	11	9	13	12	8	12	4	11	9	12	12	7	10	12	12	12	11	11	9	10	10	30	21	36	37	37	34	34	29	40	19	16	23	25	24	37	39	22	33	0	45	37	47	12	11	11	12	12	12	12	9	35	25	28	17	13	14	23	25	25	23	25	19	20	4	5	24	24	0	29	30	30	30	30	27	29	27	30	24	39	30	54	20	20	5	6	39	0	0	0	0	0	0	37	39	0	39	0	0	0	0	5	5	0	6	0	0	0	0	0	0	0	6	4	5	5	5	7	8	8	4	3	0	0	20	0	0
1707241039	10	5	46	43	47	44	25	23	12	11	11	2	12	42	50	46	44	49	27	28	30	29	47	39	12	2	35	53	52	54	20	19	19	24	11	11	6	14	11	9	13	12	7	12	3	10	7	12	12	7	10	12	12	12	11	10	10	10	9	30	21	36	37	37	33	34	30	39	19	16	23	25	24	37	39	20	32	0	43	36	46	12	11	10	12	12	12	12	10	34	26	28	15	10	15	23	25	25	23	25	19	20	3	4	24	24	0	29	30	30	30	30	27	27	27	30	22	39	30	54	20	20	5	6	38	0	0	0	0	0	0	37	39	0	38	0	0	0	0	5	5	0	6	0	0	0	0	0	0	0	6	4	5	5	4	6	8	8	4	3	0	0	20	0	0
1707241047	10	5	46	44	45	44	25	23	12	11	10	1	12	42	49	45	43	49	27	28	30	29	47	36	10	0	34	53	52	55	20	19	19	24	10	10	6	14	12	9	12	11	7	12	3	8	7	12	12	7	9	12	12	10	11	10	10	9	8	29	19	35	36	36	33	33	30	39	19	16	23	25	24	37	38	20	31	0	42	35	46	12	11	10	12	11	12	12	10	33	22	27	14	11	15	23	25	25	23	25	19	18	3	3	24	24	0	29	30	30	30	30	27	26	26	30	19	39	28	54	20	20	5	6	38	0	0	0	0	0	0	37	39	0	38	0	0	0	0	5	5	0	6	0	0	0	0	0	0	0	6	3	4	5	4	6	8	8	4	2	0	0	20	0	0
1707241055	10	5	46	44	45	44	25	23	12	11	10	2	12	42	49	45	42	48	27	28	30	29	47	35	9	1	34	52	52	54	20	19	19	24	10	10	6	13	12	9	12	11	7	12	4	7	7	12	12	7	9	12	12	10	11	10	10	9	8	29	19	35	36	36	33	33	30	39	18	16	23	25	24	37	38	20	31	0	42	35	46	12	11	10	12	11	12	11	10	33	22	27	14	11	15	23	25	25	23	25	19	18	3	3	24	24	0	29	30	30	30	30	26	26	26	30	19	39	28	54	20	20	5	6	38	0	0	0	0	0	0	37	39	0	38	0	0	0	0	5	5	0	6	0	0	0	0	0	0	0	6	2	4	5	4	5	8	8	4	2	0	0	20	0	0
1707241129	9	2	46	44	44	44	25	23	12	10	10	1	12	41	49	45	41	48	26	28	30	29	47	33	7	1	35	52	48	52	20	19	19	24	10	7	6	12	12	8	12	10	7	12	2	7	7	12	12	8	9	11	12	10	11	10	10	7	8	29	18	34	34	36	33	33	30	39	18	15	23	25	24	37	38	21	30	0	38	34	46	12	11	10	12	11	12	11	10	33	21	27	13	10	12	23	25	25	23	25	19	18	1	2	23	24	0	29	30	30	30	30	25	24	26	30	18	38	27	54	19	19	4	6	37	0	0	0	0	0	0	37	39	0	38	0	0	0	0	5	5	0	6	0	0	0	0	0	0	0	3	1	4	5	4	6	8	8	4	1	0	0	19	0	0
1707241147	7	1	44	43	39	44	24	21	12	8	9	1	11	41	48	43	39	45	26	28	30	28	46	28	7	0	35	51	47	51	19	18	18	23	9	7	5	9	12	8	10	10	6	12	0	7	7	12	12	7	9	11	11	10	11	10	10	7	7	29	16	33	33	33	33	31	29	38	18	11	23	24	24	37	37	21	30	0	37	33	45	12	10	9	11	11	12	10	10	31	20	26	11	8	10	23	25	25	23	25	19	19	1	1	23	24	0	29	29	29	29	30	25	23	24	30	16	38	22	53	18	18	4	5	37	0	0	0	0	0	0	36	38	0	38	0	0	0	0	5	4	0	6	0	0	0	0	0	0	0	1	0	0	4	2	4	7	8	4	0	0	0	18	0	0
1707241221	7	1	42	44	37	42	24	21	12	9	6	0	12	41	47	44	39	40	26	27	30	28	46	28	2	0	35	51	46	50	19	18	17	23	9	6	5	9	12	8	10	10	6	12	0	7	7	12	12	6	9	11	10	10	11	10	10	5	6	29	15	32	33	32	33	31	27	38	18	9	23	24	24	36	37	20	30	0	36	32	45	12	11	9	10	11	12	10	10	31	20	26	11	7	10	23	25	25	23	25	19	19	0	0	23	24	0	29	29	29	29	30	25	22	22	30	16	37	21	52	18	17	4	5	37	0	0	0	0	0	0	36	38	0	38	0	0	0	0	5	4	0	6	0	0	0	0	0	0	0	0	0	0	4	0	4	7	8	2	0	0	0	18	0	0
1707241307	5	1	42	44	36	42	24	21	12	9	6	0	12	41	47	44	39	38	26	27	30	28	45	29	2	0	35	51	45	50	19	18	17	23	9	7	5	9	12	8	10	8	5	11	0	8	7	12	12	6	9	11	10	10	11	10	10	5	5	29	13	32	32	32	33	31	25	38	17	9	21	24	24	36	37	20	30	0	36	31	45	12	11	9	10	11	11	10	9	30	20	26	11	5	10	23	25	25	23	25	19	19	1	1	23	24	0	29	29	29	29	28	25	21	22	30	15	37	17	51	18	17	4	4	37	0	0	0	0	0	0	36	38	0	38	0	0	0	0	5	4	0	6	0	0	0	0	0	0	0	0	0	0	4	0	3	7	8	2	0	0	0	18	0	0
1707241415	3	0	41	42	36	42	23	21	12	8	5	0	12	41	46	44	38	37	25	27	30	28	45	28	1	0	33	51	43	49	19	18	17	23	9	5	5	7	12	7	8	7	4	11	0	2	7	12	12	6	9	11	10	10	11	10	10	5	4	29	13	31	31	30	32	31	24	38	16	8	20	24	24	35	37	18	29	0	35	32	44	12	10	8	9	10	11	10	8	29	18	26	9	3	5	23	24	24	23	25	19	18	1	0	22	24	0	29	29	29	29	28	22	21	22	30	15	36	15	50	18	16	4	2	36	0	0	0	0	0	0	36	38	0	38	0	0	0	0	5	4	0	6	0	0	0	0	0	0	0	0	0	0	3	0	2	7	6	2	0	0	0	18	0	0
1707241512	0	0	39	39	31	42	22	21	11	7	2	0	11	40	43	42	36	35	25	27	30	28	45	26	0	0	32	49	43	49	18	16	16	24	5	6	5	5	12	7	7	6	0	11	0	0	7	12	12	6	9	11	10	10	11	9	10	5	3	28	11	29	29	27	28	31	20	37	15	5	20	22	22	35	35	15	26	0	34	30	43	11	10	7	8	9	11	10	7	28	16	25	3	0	2	23	24	23	23	25	19	19	0	0	9	23	0	28	29	28	29	28	19	19	22	29	10	35	4	48	18	16	4	2	33	0	0	0	0	0	0	35	38	0	34	0	0	0	0	5	4	0	6	0	0	0	0	0	0	0	0	0	0	2	0	0	6	1	0	0	0	0	18	0	0
1707241556	0	0	35	35	27	41	22	21	11	5	0	0	11	33	40	41	35	34	25	25	29	28	42	27	0	0	32	47	42	48	16	16	15	24	5	4	4	4	11	7	4	5	0	10	0	0	7	11	12	5	9	10	10	8	10	9	10	3	3	28	9	28	28	25	28	29	18	36	13	5	19	22	22	35	35	7	25	0	31	29	42	10	10	6	8	9	11	8	6	27	15	25	0	0	1	23	24	23	23	25	18	19	0	0	8	20	0	26	29	28	27	27	18	19	20	27	8	35	2	49	18	16	4	2	31	0	0	0	0	0	0	35	38	0	31	0	0	0	0	5	5	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	17	0	0
1707241623	0	0	34	32	25	40	22	20	11	5	0	0	11	25	38	36	31	34	24	25	29	28	43	25	0	0	31	46	40	48	16	15	14	24	5	4	4	0	11	7	4	5	0	9	0	0	8	11	12	5	8	10	10	8	10	8	10	2	3	28	7	25	27	24	27	28	16	36	11	2	19	22	22	33	35	6	22	0	30	27	42	10	10	6	7	9	10	8	6	26	14	25	0	0	0	23	24	23	22	24	17	19	0	0	7	20	0	26	27	28	27	27	16	19	20	27	5	34	0	49	18	16	4	0	31	0	0	0	0	0	0	36	37	0	32	0	0	0	0	5	5	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	17	0	0
1707241717	0	0	34	31	19	40	22	19	11	6	0	0	11	20	36	34	28	34	22	25	29	28	40	23	0	0	31	44	37	46	16	15	14	24	1	1	3	0	9	6	1	0	0	9	0	0	7	11	12	5	8	10	9	8	10	8	9	2	2	28	3	23	24	21	26	28	14	36	7	0	15	21	22	31	32	5	22	0	28	24	39	10	8	6	6	9	9	8	6	22	11	22	0	0	0	23	24	23	22	24	17	18	0	0	7	19	0	24	27	28	27	27	14	16	17	27	0	35	0	47	17	15	4	0	28	0	0	0	0	0	0	36	38	0	30	0	0	0	0	5	5	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0
1707241814	0	0	33	31	17	39	22	19	11	6	1	0	11	21	35	34	26	34	22	25	28	28	39	23	0	0	31	44	39	45	16	15	13	24	1	1	4	0	9	5	0	0	0	9	0	0	7	11	12	5	8	10	9	8	10	8	9	2	2	28	2	21	23	19	25	28	15	36	7	0	15	21	22	32	33	4	22	0	27	24	40	10	8	5	6	9	9	8	6	22	10	22	0	0	0	22	24	23	22	23	17	18	0	0	7	19	0	24	27	28	27	27	14	16	16	26	0	34	0	47	17	15	4	0	27	0	0	0	0	0	0	34	38	0	29	0	0	0	0	5	5	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0
1707241848	0	0	33	31	16	40	22	19	11	6	1	0	11	21	35	34	26	34	22	25	28	28	39	23	0	0	31	44	39	45	16	15	13	24	1	1	4	0	9	5	0	0	0	9	0	0	7	11	12	5	8	10	9	8	10	8	9	1	2	28	1	21	22	19	25	28	15	36	7	0	15	21	22	32	33	4	22	0	27	24	40	10	8	5	6	9	9	8	6	22	10	22	0	0	0	22	24	23	21	23	17	18	0	0	6	19	0	24	27	28	27	27	13	16	16	26	0	34	0	47	17	15	4	0	27	0	0	0	0	0	0	34	38	0	29	0	0	0	0	5	5	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0
1707242034	0	0	33	32	14	39	22	19	11	6	1	0	11	20	35	34	26	33	22	25	28	28	39	23	0	0	31	43	39	45	16	15	13	24	1	0	3	0	9	5	0	0	0	9	0	0	7	11	12	4	7	10	9	9	10	8	9	0	2	28	0	21	22	19	25	28	15	36	7	0	14	21	22	32	33	2	21	0	26	24	40	10	8	5	6	9	9	7	6	22	10	22	0	0	0	22	24	23	21	23	17	18	0	0	6	19	0	24	27	28	27	27	12	16	16	26	0	34	0	46	17	15	4	0	27	0	0	0	0	0	0	34	38	0	29	0	0	0	0	5	5	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0
1707242132	0	0	33	32	14	39	22	19	11	6	1	0	11	20	35	34	26	31	22	25	28	28	37	23	0	0	31	43	37	45	16	15	12	24	1	0	3	0	9	5	0	0	0	9	0	0	7	11	12	4	7	10	9	9	10	8	9	0	1	28	1	22	21	18	25	28	15	36	6	0	14	21	22	31	33	1	21	0	26	23	40	10	8	5	6	9	9	7	5	22	10	22	0	0	0	22	24	23	21	23	17	18	0	0	6	19	0	23	26	28	27	27	11	16	16	26	0	34	1	45	17	15	4	0	27	0	0	0	0	0	0	34	38	0	29	0	0	0	0	5	5	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0
1707242210	0	0	33	33	13	39	22	19	11	6	1	0	11	20	34	34	26	31	22	25	28	28	37	23	0	0	31	43	37	45	16	15	12	24	1	0	4	0	9	5	0	0	0	9	0	0	7	11	12	4	7	10	9	8	10	8	9	0	1	28	0	21	21	18	25	28	15	36	6	0	14	21	21	31	33	1	21	0	26	23	40	10	8	5	6	9	9	7	5	22	10	22	0	0	0	22	24	23	21	23	17	18	0	0	6	19	0	23	27	28	27	27	11	16	15	26	0	34	0	45	17	15	4	0	27	0	0	0	0	0	0	34	38	0	28	0	0	0	0	5	5	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0
