date	EDUC1000A_11541	EDUC1000A_11681	EDUC1000A_11682	EDUC1001B_10922	EDUC1001B_13192	EDUC1005B_11313	EDUC1005B_22484	EDUC1012A_10814	EDUC1012A_14779	EDUC1017B_24137	EDUC1021_24138	EDUC1021B_21618	EDUC1025B_24140	EDUC1025B_28325	EDUC1027B_27364	EDUC1028_27365	EDUC1029_27366	EDUC206_18898	EDUC3000_11153	EDUC3994_27367	EDUC4010_11146	EDUC4017_20358	EDUC4022_12970	EDUC4025_21031	EDUC4026_21072	EDUC4027_14543	EDUC4029_21073	EDUC4035_27374	EDUC4206_10688	EDUC4206_14825	EDUC4206_18861	EDUC4206_18865	EDUC4206_18867	EDUC4206_18868	EDUC4206_18869	EDUC4206_18872	EDUC4206_18873	EDUC4206_18888	EDUC4206_18889	EDUC4206_18890	EDUC4206_18891	EDUC4206_18892	EDUC4206_18893	EDUC4206_18894	EDUC4206_18896	EDUC4206_18898	EDUC4206_18899	EDUC4206_18901	EDUC4206_21074	EDUC4206_21075	EDUC4206_23618	EDUC4207_10815	EDUC4207_16892	EDUC4207_18874	EDUC4207_18875	EDUC4207_18876	EDUC4207_18877	EDUC4207_18878	EDUC4207_18879	EDUC4207_18880	EDUC4207_18883	EDUC4207_18884	EDUC4207_18886	EDUC4207_18887	EDUC4207_18907	EDUC4207_18908	EDUC4207_18909	EDUC4207_18910	EDUC4207_18911	EDUC4207_18912	EDUC4207_18913	EDUC4207_18914	EDUC4207_18915	EDUC4305_27370	EDUC4306_27368	EDUC4401_26624	EDUC4513_26625	EDUC4613_26048	EDUC4702_26626	EDUC4728_27375	EDUC4904_27801	EDUC5300_25040	EDUC6000_26629	EDUC6001_25044	EDUC6003_25046	EDUC6005_25048	EDUC6006_25049	EDUC6007_25050	EDUC6008_26630	EDUC6009_25052	EDUC6010_25054	EDUC6011_25055	EDUC6012_25056	EDUC6013_25057	EDUC6014_25058	EDUC6016_25059	EDUC6017_26631	EDUC6022_25091	EDUC6023_25092	EDUC6024_25093	EDUC6028_25108	EDUC6990_25095	EDUC6997_25096
1707240824	46	46	46	42	42	42	42	44	43	42	20	-3	42	42	42	45	45	0	10	45	10	50	30	50	30	30	45	30	30	30	30	10	5	10	5	10	20	5	20	45	20	10	5	10	5	5	5	5	30	5	10	30	10	10	25	30	3	10	5	5	30	10	20	30	10	10	10	5	20	5	5	5	5	30	45	30	45	45	30	0	45	30	5	10	30	5	10	5	10	5	5	5	10	10	10	10	30	10	5	10	5	10	10
1707240905	45	46	46	42	41	41	42	43	42	40	19	-3	42	42	42	45	45	0	10	45	10	50	30	50	30	30	45	30	30	30	30	10	5	10	5	10	20	5	20	45	20	10	5	10	5	5	5	5	30	5	10	30	10	10	25	30	3	10	5	5	30	10	20	30	10	10	10	5	20	5	5	5	5	30	45	30	45	45	30	0	45	30	5	10	30	5	10	5	10	5	5	5	10	10	10	10	30	10	5	10	5	10	10
1707240930	45	46	46	42	41	41	42	41	42	40	19	-3	42	41	42	45	45	0	10	45	10	50	30	50	30	30	45	30	30	30	30	10	5	10	5	10	20	5	20	45	20	10	5	10	5	5	5	5	30	5	10	30	10	10	25	30	3	10	5	5	30	10	20	30	10	10	10	5	20	5	5	5	5	30	45	30	45	45	30	0	45	30	5	10	30	5	10	5	10	5	5	5	10	10	10	10	30	10	5	10	5	10	10
1707240941	44	46	46	42	41	41	42	41	41	40	19	-3	42	41	42	45	45	0	10	45	10	50	30	50	30	30	45	30	30	30	30	10	5	10	5	10	20	5	20	45	20	10	5	10	5	5	5	5	30	5	10	30	10	10	25	30	3	10	5	5	30	10	20	30	10	10	10	5	20	5	5	5	5	30	45	30	45	45	30	0	45	30	5	10	30	5	10	5	10	5	5	5	10	10	10	10	30	10	5	10	5	10	10
1707241000	44	46	46	42	41	41	42	41	41	40	19	-3	42	41	42	45	45	0	10	45	10	50	30	50	30	30	45	30	30	30	30	10	5	10	5	10	20	5	20	45	20	10	5	10	5	5	5	5	30	5	10	30	10	10	25	30	3	10	5	5	30	10	20	30	10	10	10	5	20	5	5	5	5	30	45	30	45	45	30	0	45	30	5	10	30	5	10	5	10	5	5	5	10	10	10	10	30	10	5	10	5	10	10
1707241012	44	46	46	42	40	41	42	41	40	40	19	-3	42	41	42	45	45	0	10	45	10	50	30	50	30	30	45	30	30	30	30	10	5	10	5	10	20	5	20	45	20	10	5	10	5	5	5	5	30	5	10	30	10	10	25	30	3	10	5	5	30	10	20	30	10	10	10	5	20	5	5	5	5	30	45	30	45	45	30	0	45	30	5	10	30	5	10	5	10	5	5	5	10	10	10	10	30	10	5	10	5	10	10
1707241023	44	46	46	42	40	41	42	41	40	40	19	-3	42	41	42	45	45	0	10	45	10	50	30	50	30	30	45	30	30	30	30	10	5	10	5	10	20	5	20	45	20	10	5	10	5	5	5	5	30	5	10	30	10	10	25	30	3	10	5	5	30	10	20	30	10	10	10	5	20	5	5	5	5	30	45	30	45	45	30	0	45	30	5	10	30	5	10	5	10	5	5	5	10	10	10	10	30	10	5	10	5	10	10
1707241039	44	46	46	42	40	41	42	41	40	40	19	-3	42	41	42	45	45	0	10	45	10	50	30	50	29	30	45	30	30	30	30	10	5	10	5	10	20	5	20	45	20	10	5	10	5	5	5	5	30	5	10	30	10	10	25	30	3	10	5	5	30	10	20	30	10	10	10	5	20	5	5	5	5	30	45	30	45	45	30	0	45	30	5	10	30	5	10	5	10	5	5	5	10	10	10	10	30	10	5	10	5	10	10
1707241047	44	46	46	42	40	41	42	41	40	40	19	-3	42	41	42	45	45	0	10	45	10	47	30	48	28	30	44	30	30	30	30	10	5	10	5	10	20	5	20	45	20	10	5	10	5	5	5	5	30	5	10	30	10	10	25	30	3	10	5	5	30	10	20	30	10	10	10	5	20	5	5	5	5	30	45	30	45	45	30	0	45	30	5	10	30	5	10	5	10	5	5	5	10	10	10	10	30	10	5	10	5	10	10
1707241055	44	46	46	42	40	41	42	41	40	40	19	-3	42	41	42	45	45	0	10	45	10	47	30	47	28	30	44	30	30	30	30	10	5	10	5	10	20	5	20	45	20	10	5	10	5	5	5	5	30	5	10	30	10	10	25	30	3	10	5	5	30	10	20	30	10	10	10	5	20	5	5	5	5	30	45	30	45	45	30	0	45	30	5	10	30	5	10	5	10	5	5	5	10	10	10	10	30	10	5	10	5	10	10
1707241129	44	46	46	41	40	41	42	41	40	40	19	-3	42	41	42	45	45	0	10	45	10	44	30	43	27	30	43	30	30	30	30	10	5	10	5	10	20	5	20	45	20	10	5	10	5	5	5	5	30	5	10	30	10	10	25	30	3	10	5	5	29	10	20	30	10	10	10	5	20	5	5	5	5	30	45	30	45	45	28	0	45	30	5	10	30	5	10	5	10	5	5	5	10	10	10	10	30	10	5	10	5	10	10
1707241147	44	46	46	41	40	41	42	41	40	40	19	-3	42	41	42	45	45	0	10	45	10	43	29	43	25	28	42	27	29	30	30	10	5	10	5	10	20	5	20	45	20	10	3	10	5	5	5	5	30	4	10	30	10	10	24	29	3	10	5	3	28	9	20	28	10	10	10	5	20	5	5	5	5	30	43	24	42	41	22	0	45	30	5	10	30	5	10	5	10	5	5	5	10	10	10	10	30	10	5	10	5	10	10
1707241221	44	46	46	40	40	41	42	40	40	40	19	-3	42	41	41	44	44	0	10	45	10	42	29	42	24	28	42	24	29	30	30	10	5	10	5	10	19	5	20	45	20	10	3	9	5	5	5	5	30	4	10	30	10	10	24	29	3	10	5	3	28	9	19	25	9	10	10	5	20	5	5	5	5	28	43	24	41	36	15	0	42	30	5	10	30	5	10	5	10	5	5	5	10	10	10	10	30	10	5	10	5	10	10
1707241307	44	46	46	40	40	41	42	40	39	40	19	-3	42	41	41	44	44	0	10	45	10	41	29	41	24	27	42	23	29	30	30	10	5	10	5	10	19	5	20	45	20	10	3	9	5	5	5	5	30	4	10	30	10	10	24	29	3	10	5	3	28	9	19	25	9	10	10	5	20	5	5	5	5	28	43	24	41	36	14	0	42	30	5	10	30	5	10	5	10	5	5	5	10	10	10	10	30	10	5	10	5	10	10
1707241415	44	46	46	40	40	41	42	40	39	40	19	-3	42	41	41	44	44	0	10	45	10	41	29	41	23	25	41	16	29	30	30	10	5	9	5	10	19	5	20	45	20	10	2	9	5	5	5	5	30	3	10	30	10	10	23	28	3	10	2	3	27	9	19	24	8	10	10	5	20	5	5	5	5	27	43	19	36	32	6	0	37	30	5	10	30	5	10	5	10	5	5	5	10	10	10	10	30	10	5	10	5	10	10
1707241512	42	46	44	40	40	41	42	34	38	40	19	-3	42	40	41	42	42	0	10	44	10	40	29	40	23	22	41	10	28	30	28	10	5	9	5	10	19	5	20	45	20	10	1	9	5	5	5	5	29	2	10	30	10	10	23	22	3	10	1	3	27	9	19	19	8	10	10	5	20	5	5	5	5	23	40	6	31	23	0	0	32	29	5	10	30	5	9	3	8	5	5	4	10	10	10	9	30	10	5	8	5	10	10
1707241556	42	46	42	40	38	41	42	34	38	40	19	-3	42	40	41	42	42	0	10	43	10	40	29	40	23	22	41	7	28	30	26	10	5	9	5	10	19	5	20	45	20	10	1	9	5	5	5	5	29	2	10	30	10	9	22	21	3	9	1	2	27	9	19	17	8	9	10	5	20	5	5	5	5	21	40	1	30	22	0	0	31	29	4	9	30	5	9	2	8	5	5	4	10	10	10	9	30	10	5	8	5	10	10
1707241623	41	46	41	40	38	41	42	34	38	40	19	-3	42	40	41	42	42	0	10	43	10	40	29	40	23	22	41	6	28	30	25	10	5	9	5	10	19	5	20	45	20	10	1	9	5	5	5	5	29	2	10	29	10	9	22	21	3	9	1	1	27	9	19	17	8	9	10	5	20	5	5	5	5	20	39	0	30	16	0	0	31	29	4	9	30	5	9	2	8	5	5	4	10	10	9	9	30	10	5	8	5	10	10
1707241717	39	46	37	40	38	41	42	34	38	40	19	-3	42	40	41	42	42	0	10	43	10	38	29	39	23	22	41	0	27	30	25	10	5	9	5	9	19	5	20	45	20	10	1	9	5	5	5	5	29	2	10	29	10	9	22	19	3	9	1	1	27	9	19	16	8	9	10	5	20	5	5	5	5	18	39	0	30	9	0	0	31	29	4	8	29	5	7	0	8	4	5	4	10	10	9	9	30	10	5	7	5	10	10
1707241814	38	46	37	40	38	41	42	34	38	40	19	-3	42	40	41	42	42	0	10	43	10	37	29	38	23	20	41	-1	27	30	22	10	5	9	5	9	19	5	20	45	20	10	1	9	5	5	5	5	29	2	10	29	10	7	22	19	3	9	1	0	26	9	19	14	8	9	10	5	20	5	5	5	5	18	39	0	30	8	0	-1	31	29	4	8	29	5	7	0	8	4	5	4	10	10	9	9	30	10	5	7	5	10	10
1707241848	38	46	37	40	38	41	42	34	38	40	19	-3	42	40	41	42	42	0	10	43	10	37	29	38	23	20	41	-1	24	30	18	10	5	9	5	9	17	5	19	45	20	10	0	9	5	5	5	5	28	2	9	29	10	7	21	19	3	9	1	0	26	9	19	13	8	8	10	5	20	4	5	5	5	18	39	0	28	6	0	-1	30	29	4	8	29	5	7	0	8	4	5	3	10	10	9	9	30	10	5	7	5	10	10
1707242034	38	46	37	40	38	41	42	34	38	40	19	-3	42	40	41	42	42	0	10	43	10	37	28	38	23	19	41	-1	24	29	18	10	5	9	5	9	17	5	19	45	20	10	0	9	5	5	5	5	28	2	9	29	10	6	20	18	3	8	1	-1	26	9	19	12	8	8	10	5	20	4	5	5	5	17	39	0	29	6	0	-1	29	29	4	8	29	5	7	0	8	4	5	3	10	10	9	9	30	10	5	7	5	10	10
1707242132	38	46	37	40	38	41	42	34	38	40	19	-3	42	40	41	42	42	0	10	43	10	36	28	37	21	18	40	-1	24	29	18	10	5	9	5	9	17	5	19	45	20	10	0	9	5	5	5	5	28	2	9	29	10	6	19	18	3	8	1	-1	26	9	19	12	8	8	10	5	20	4	5	5	5	16	39	0	27	5	0	-1	28	29	4	8	29	5	7	0	8	4	5	3	10	10	9	9	30	10	5	7	5	10	10
1707242210	38	46	37	40	38	41	42	34	38	40	19	-3	42	40	41	42	42	0	10	43	10	36	28	37	21	18	39	-1	24	29	18	10	5	9	5	9	17	5	19	45	20	10	0	9	5	5	5	5	28	2	9	29	10	6	19	18	3	8	1	-1	26	9	19	12	8	8	10	5	20	4	5	5	5	16	39	0	24	5	0	-1	27	29	4	8	29	5	7	0	8	4	5	3	10	10	9	9	30	10	5	7	5	9	10
1707242307	38	46	37	40	38	41	42	34	38	40	19	-3	42	40	41	42	42	0	10	43	10	36	28	37	21	18	39	-1	24	29	18	10	5	9	5	9	17	5	19	45	20	10	0	9	5	5	5	5	28	2	9	29	10	6	19	17	3	8	1	-1	26	9	19	12	8	8	9	5	20	4	5	5	5	16	39	0	24	5	0	-1	27	29	4	8	29	5	7	0	8	4	4	3	10	10	9	8	30	10	5	7	5	9	10
1707242329	38	46	37	40	38	41	42	34	38	40	19	-3	42	40	41	42	42	0	10	43	10	36	28	37	21	18	39	-1	24	29	18	10	5	9	5	9	17	5	19	45	20	10	0	9	5	5	5	5	28	2	9	29	10	6	19	17	3	8	1	-1	26	9	19	12	8	8	9	5	20	4	5	5	5	16	39	0	24	5	0	-1	27	29	4	8	29	5	7	0	8	4	4	3	10	10	9	8	30	10	5	7	5	9	10
1707242343	38	46	37	40	38	41	42	34	38	40	19	-3	42	40	41	42	42	0	10	43	10	36	28	37	21	18	39	-1	24	29	18	10	5	9	5	9	17	5	19	45	20	10	0	9	5	5	5	5	28	2	9	29	10	6	19	17	3	8	1	-1	26	9	19	12	8	8	9	5	20	4	5	5	5	16	39	0	24	5	0	-1	27	29	4	8	29	5	7	0	8	4	4	3	10	10	9	8	30	10	5	7	5	9	10
1707250748	38	46	37	40	38	41	42	34	38	40	19	-3	42	40	41	42	42	0	10	43	10	36	28	37	21	18	39	-1	24	29	18	10	5	9	5	9	17	5	19	45	20	10	0	9	5	5	5	5	28	2	9	29	10	6	19	17	3	8	1	-1	26	9	19	12	8	8	9	5	20	4	5	5	5	16	39	0	24	4	0	-1	27	29	3	7	28	5	7	0	8	4	4	3	10	10	9	8	30	10	5	7	5	9	10
1707251027	50	58	46	35	30	36	41	49	54	40	19	-3	42	39	41	42	42	0	7	43	10	34	28	34	21	17	39	-1	23	29	18	10	5	9	5	9	17	5	19	45	20	10	0	9	5	5	5	5	28	2	9	29	10	6	19	16	3	8	1	-1	26	9	19	12	8	8	9	4	20	4	5	5	5	16	39	0	24	3	17	-2	26	29	3	7	28	5	7	0	8	4	4	3	10	10	9	8	30	10	5	7	5	9	10
1707251309	33	51	29	21	20	32	40	40	36	40	19	-3	39	39	41	42	42	5	6	43	10	34	28	34	21	17	39	-1	23	29	18	10	5	9	5	9	17	5	19	45	20	10	0	9	5	0	5	5	28	2	9	29	10	6	19	16	3	8	1	-1	26	9	19	12	8	8	9	4	20	4	5	5	5	16	38	19	23	1	14	-2	25	29	3	7	28	4	7	0	8	4	4	2	10	10	9	8	30	10	5	7	5	9	10
1707251351	34	51	29	21	20	32	40	40	35	40	19	-3	39	39	41	42	42	0	6	43	10	33	28	33	21	17	39	-1	23	29	18	10	5	9	5	9	17	5	19	45	20	10	0	9	5	5	5	5	28	2	9	29	10	6	19	16	3	8	1	-1	26	9	19	12	8	8	9	4	20	4	5	5	5	16	37	19	23	0	11	-2	24	29	3	7	28	4	7	0	8	4	4	2	10	10	9	8	30	10	5	7	5	9	10
1707251441	19	47	16	17	9	28	40	32	28	40	19	-3	39	39	41	42	42	0	6	43	10	32	28	32	21	17	39	-1	23	29	18	10	5	9	5	9	17	5	19	45	20	10	0	9	5	5	5	5	28	2	9	29	10	6	19	16	3	8	1	-1	26	9	19	12	8	8	9	4	20	4	5	5	5	16	37	18	23	0	11	-2	24	29	3	7	28	4	7	0	8	4	4	2	10	10	9	8	30	10	5	7	5	9	10
1707251521	14	43	8	12	8	25	40	28	21	40	18	-3	38	39	41	41	41	0	6	43	10	32	28	32	21	17	39	-1	23	29	18	10	5	9	5	9	17	5	19	45	20	10	0	9	5	5	5	5	28	2	9	29	10	6	19	16	3	8	1	-1	26	9	19	12	8	8	9	4	20	4	5	5	5	16	37	18	23	0	11	-2	24	29	3	7	28	4	7	0	8	4	4	2	10	10	9	8	30	10	5	7	5	9	10
1707251605	6	40	0	15	3	24	40	23	17	40	18	-3	38	39	41	41	41	0	6	43	10	32	28	31	20	17	39	-1	23	29	18	10	5	9	5	9	17	5	19	45	20	10	0	9	5	5	5	5	28	2	9	29	10	6	17	16	3	8	1	-1	26	8	19	12	8	8	9	4	20	4	5	5	5	16	37	17	23	0	9	-2	24	29	3	6	28	3	7	0	8	4	4	2	10	10	9	8	30	10	5	6	5	9	10
1707251658	0	36	0	4	0	20	38	12	10	40	17	-3	38	39	41	40	41	0	5	43	10	32	28	31	20	17	39	-1	23	29	18	10	5	9	5	9	17	5	19	45	20	10	0	9	5	5	5	5	27	2	9	29	10	6	17	15	3	8	1	-1	26	6	19	12	8	8	9	4	20	4	5	5	5	16	37	17	23	0	9	-2	23	29	3	5	27	3	7	0	8	4	4	2	10	10	9	8	29	10	5	6	5	9	10
1707251727	1	36	0	4	0	20	38	11	7	40	17	-3	38	39	41	40	41	0	5	43	10	32	27	31	20	17	39	-1	23	29	18	10	5	9	5	9	17	5	19	45	20	10	0	9	5	5	5	5	27	2	9	29	10	6	17	15	3	8	1	-1	26	6	19	12	8	8	9	4	20	4	5	5	5	16	37	17	23	0	8	-2	23	29	3	5	27	3	6	0	8	4	4	2	10	10	9	8	29	10	5	6	5	9	10
1707251900	0	36	0	4	0	19	38	12	6	40	17	-3	38	39	41	40	41	0	5	43	10	32	27	32	20	17	39	-1	23	29	17	10	5	9	5	9	17	5	18	45	20	10	0	9	5	5	5	5	27	2	9	29	10	6	16	15	3	7	1	-2	26	6	19	11	8	8	9	4	20	4	5	5	5	16	37	17	23	0	8	-2	23	28	3	5	27	3	6	0	8	4	4	2	10	10	9	8	28	10	5	6	5	8	10
1707251927	0	36	0	4	0	19	38	12	6	40	17	-3	38	39	41	40	41	0	5	43	10	32	27	32	20	17	39	-1	23	29	17	10	5	9	5	9	17	5	18	45	20	10	0	9	5	5	5	5	27	2	9	29	10	6	16	15	3	7	1	-2	26	6	19	11	8	8	9	4	20	4	5	5	5	16	37	17	23	0	8	-2	23	28	3	5	27	3	6	0	8	4	4	2	10	10	9	8	28	10	5	6	5	8	10
1707252025	0	36	0	4	1	19	38	12	6	40	17	-3	38	39	41	40	41	0	4	43	10	32	27	32	20	17	39	-1	23	28	17	10	5	9	5	9	17	5	18	45	20	10	0	9	5	5	5	5	27	2	9	29	10	6	15	15	3	7	1	-2	26	6	19	11	8	8	9	4	20	4	5	5	5	16	37	17	23	0	7	-2	23	28	3	5	27	3	5	0	8	4	4	2	10	10	9	8	28	10	5	6	5	8	10
1707252100	0	36	0	4	1	19	38	11	6	40	17	-3	38	39	41	40	41	0	3	43	10	32	27	32	20	17	39	-1	23	28	17	10	5	9	5	9	17	5	18	45	20	10	-1	9	5	5	5	5	27	2	9	29	10	6	15	15	3	7	1	-2	26	6	19	10	8	8	9	4	20	4	5	5	5	16	37	17	23	0	7	-3	22	28	3	5	27	3	5	0	8	4	4	2	10	10	9	8	28	10	4	6	5	7	10
1707252124	0	36	0	4	0	19	38	11	6	40	17	-3	38	39	41	40	41	0	3	43	10	32	27	32	20	17	39	-3	21	28	17	10	5	9	5	9	17	5	18	45	20	10	-1	9	5	5	5	5	27	2	8	29	10	6	15	15	3	7	1	-2	26	6	19	10	8	8	9	4	20	4	5	5	5	16	37	17	23	0	7	-4	22	28	3	5	27	3	5	0	8	4	4	2	10	10	9	8	28	10	4	6	5	7	10
1707252143	0	36	0	4	0	19	38	11	6	40	17	-3	38	39	41	40	41	0	3	43	10	32	27	32	20	17	39	-4	21	27	16	10	5	9	5	9	17	5	18	45	20	10	-2	9	5	5	5	5	27	2	8	29	10	6	15	15	3	7	1	-2	26	6	19	10	8	8	9	4	20	4	5	5	5	16	37	17	23	0	7	-4	22	28	3	5	27	3	5	0	8	4	4	2	10	10	9	8	28	10	4	6	5	7	10
1707252259	0	37	0	4	0	19	38	11	6	40	17	-3	38	39	41	40	41	0	3	43	10	32	27	32	20	17	39	-4	21	27	16	10	5	9	5	9	17	5	18	45	20	10	-2	9	5	5	5	5	27	2	8	29	10	6	15	15	3	7	1	-2	26	6	19	10	8	8	9	4	20	4	5	5	5	16	37	16	23	0	7	-4	22	28	3	5	27	3	5	0	8	4	4	2	10	9	9	8	28	10	4	6	5	7	10
1707252332	0	37	0	4	0	19	38	11	6	40	17	-3	38	39	41	40	41	0	3	43	10	32	27	32	19	17	38	-4	21	27	16	10	5	9	5	9	17	5	18	45	20	10	-2	9	5	5	5	5	27	2	8	29	10	6	15	15	3	7	1	-2	26	6	19	10	8	8	9	4	20	4	5	5	5	16	37	16	23	0	7	-4	22	28	3	5	27	3	5	0	8	4	4	2	10	9	9	8	28	10	4	6	5	7	10
1707260820	6	43	6	1	0	17	39	12	8	40	17	-3	38	39	41	39	41	0	3	43	10	32	27	31	18	16	38	-4	21	27	16	10	5	9	5	9	17	5	18	45	20	10	-2	9	5	5	5	5	27	2	8	29	10	6	15	15	3	7	1	-2	26	6	19	10	8	8	9	4	20	4	5	5	5	16	36	16	23	0	6	-4	22	28	3	5	27	3	5	0	8	4	4	2	10	9	8	8	28	10	4	6	4	7	10
