date	MBIO0000_20489	MBIO1100_11328	MBIO1100_11401	MBIO1100_11402	MBIO1100_11403	MBIO1100_11404	MBIO1100_11405	MBIO1100_11943	MBIO1100_14811	MBIO1100_18437	MBIO1100C_27078	MBIO1100C_27646	MBIO1100C_27647	MBIO1100C_27649	MBIO1100C_27650	MBIO1100C_27651	MBIO1100C_27653	MBIO1100C_27654	MBIO1100C_27656	MBIO1100C_27657	MBIO1100C_27659	MBIO1100C_27662	MBIO1100C_27663	MBIO1100C_27665	MBIO1100C_27668	MBIO1100C_27676	MBIO1100C_27678	MBIO1100C_27679	MBIO1101_10364	MBIO1101_10365	MBIO1101_10366	MBIO1101_10616	MBIO1101_10617	MBIO1101_10618	MBIO1101_10619	MBIO1101_10624	MBIO1101_10993	MBIO1101_11095	MBIO1101_11125	MBIO1101_13566	MBIO1101_18442	MBIO1280A_10940	MBIO1280A_13697	MBIO1282B_12054	MBIO1282B_12093	MBIO2100_10704	MBIO2101_10246	MBIO2101_10574	MBIO2101_13330	MBIO2101_26141	MBIO2102_12593	MBIO2102_13952	MBIO2102_26178	MBIO2102C_12458	MBIO2102C_12614	MBIO2102C_13625	MBIO2102C_27723	MBIO2102C_27724	MBIO2103_10508	MBIO2103_10804	MBIO2103_10887	MBIO2103_11057	MBIO2103_13004	MBIO2103_13569	MBIO2103_13570	MBIO2103_21243	MBIO2103_26180	MBIO2300_10110	MBIO2301_11953	MBIO2301_13742	MBIO2302_10111	MBIO2303_10362	MBIO2303_21242	MBIO2304_12138	MBIO2305_12139	MBIO2305_13760	MBIO2306_10112	MBIO2307_10113	MBIO2307_18998	MBIO2310_22943	MBIO2310C_22945	MBIO2400_10114	MBIO2401_10115	MBIO2401_10177	MBIO3105_28212	MBIO3502_14812	MBIO3503_18438	MBIO3503_18439	MBIO3513_13107	MBIO3518_13108	MBIO3600_10117	MBIO3601_10363	MBIO3608_27777	MBIO3912_11329	MBIO3913_12323	MBIO3914_13699	MBIO3915_22839	MBIO3991_10214	MBIO3993_12055
1707240824	30	87	90	89	88	77	90	87	89	90	44	45	42	45	45	40	39	39	39	43	44	45	45	49	48	45	40	40	63	64	63	60	45	64	64	64	64	64	48	64	44	60	33	44	44	90	32	24	24	24	100	70	70	45	45	45	45	45	24	24	24	32	32	32	24	24	24	50	24	24	48	24	24	48	24	24	40	24	24	70	70	70	30	30	40	20	20	0	40	40	40	32	30	30	20	0	20	20	20
1707240905	25	85	90	85	78	72	89	82	86	88	43	44	41	45	45	40	35	31	37	39	43	45	44	49	43	43	40	38	60	63	59	57	40	64	63	63	63	61	47	64	35	58	31	42	44	90	32	24	24	24	100	70	70	45	45	45	45	45	24	24	24	32	32	32	24	24	24	50	24	24	48	24	24	48	24	24	40	24	24	70	70	69	29	30	40	20	20	0	40	40	40	32	30	30	20	0	20	20	20
1707240930	23	84	90	81	73	68	86	83	86	86	43	44	40	45	45	38	33	29	34	36	42	44	42	49	44	43	39	37	59	63	58	55	37	64	63	63	62	57	46	63	32	58	31	42	44	90	32	24	24	24	100	70	70	45	45	45	45	45	24	24	24	32	32	32	24	24	24	50	24	24	48	24	24	48	24	24	40	24	24	70	70	69	29	30	40	20	20	0	40	40	40	32	30	30	20	0	20	20	20
1707240941	21	83	87	78	68	66	85	80	86	85	43	43	40	44	43	38	30	28	30	34	42	44	41	48	42	43	38	37	58	63	56	54	34	63	63	62	60	54	47	61	27	57	30	42	44	90	32	24	24	24	100	70	70	45	45	45	45	45	24	24	24	32	32	32	24	24	24	50	24	24	48	24	24	48	24	24	40	24	24	70	70	69	29	30	40	20	20	0	40	40	40	32	30	30	20	0	20	20	20
1707241000	21	82	86	78	63	61	84	79	85	84	42	42	40	44	42	37	31	26	27	30	41	43	41	48	41	43	38	36	58	63	56	50	32	62	63	62	60	51	47	60	21	57	30	42	44	90	32	24	24	24	100	70	70	45	45	45	45	45	24	24	24	32	32	32	24	24	24	50	24	24	48	24	24	48	24	24	40	24	24	70	70	69	29	30	40	20	20	0	40	40	40	32	30	30	20	0	20	20	20
1707241012	18	82	85	77	58	59	83	78	85	83	42	42	40	44	41	37	30	22	26	30	40	43	40	47	41	43	38	35	57	63	56	51	32	61	61	61	60	49	46	60	18	57	30	41	44	90	32	24	24	24	100	70	70	45	45	45	45	45	24	24	24	32	32	32	24	24	24	50	24	24	48	24	24	48	24	24	40	24	24	70	70	69	29	30	40	20	20	0	40	40	40	32	30	30	20	0	20	20	20
1707241023	16	80	85	76	55	55	84	76	85	82	42	42	38	44	41	37	29	22	23	26	39	44	40	46	40	43	37	35	54	63	53	50	31	61	61	60	60	47	46	61	16	57	30	40	44	90	32	24	24	24	100	70	70	45	45	45	45	45	24	24	24	32	32	32	24	24	24	50	24	24	48	24	24	48	24	24	40	24	24	70	70	69	29	30	40	20	20	0	40	40	40	32	30	30	20	0	20	20	20
1707241039	15	80	85	72	52	53	83	76	86	82	42	42	38	44	41	35	27	20	22	25	38	43	40	47	39	44	37	35	52	63	53	46	31	60	61	61	60	47	46	61	13	55	30	41	44	90	32	24	24	24	100	70	70	45	45	45	45	45	24	24	24	32	32	32	24	24	24	50	24	24	48	24	24	48	24	24	40	24	24	70	70	69	29	30	40	20	20	0	40	40	40	32	30	30	20	0	20	20	20
1707241047	15	80	85	72	51	53	83	76	86	82	42	42	38	44	41	35	27	20	21	25	38	43	40	47	39	44	37	35	52	63	53	46	31	60	61	61	60	47	46	61	12	55	30	41	44	90	32	24	24	24	100	70	70	45	45	45	45	45	24	24	24	32	32	32	24	24	24	50	24	24	48	24	24	48	24	24	40	24	24	70	70	69	29	30	40	20	20	0	40	40	40	32	30	30	20	0	20	20	20
1707241055	15	80	85	71	50	53	83	76	86	82	42	42	38	44	41	34	27	20	20	25	38	43	40	47	39	44	37	35	52	63	53	47	30	60	61	61	60	46	45	61	12	55	30	41	43	90	32	24	24	24	100	70	70	45	45	45	45	45	24	24	24	32	32	32	24	24	24	50	24	24	48	24	24	48	24	24	40	24	24	70	70	69	29	30	40	20	20	0	40	40	40	32	30	30	20	0	20	20	20
1707241129	15	80	80	71	50	53	82	78	85	82	42	42	38	44	36	32	29	20	20	24	39	43	39	48	40	43	37	35	52	63	53	47	31	59	63	61	60	47	45	60	5	54	30	41	42	90	32	24	24	24	100	70	70	45	45	45	45	45	24	24	24	32	32	32	24	24	24	50	24	24	48	24	24	48	24	24	40	24	24	70	70	69	29	30	40	20	20	0	40	40	40	32	30	30	20	0	20	20	20
1707241147	15	80	81	70	50	50	81	78	85	82	42	42	38	43	38	31	29	20	20	21	39	43	38	48	40	43	37	35	50	63	53	47	28	60	63	61	60	47	45	60	5	54	30	41	42	90	32	24	24	24	100	70	70	45	45	45	45	45	24	24	24	32	32	32	24	24	24	50	24	24	48	24	24	48	24	24	40	24	24	70	70	69	29	30	40	20	20	0	40	40	40	32	30	30	20	0	20	20	20
1707241221	15	80	81	68	51	50	81	78	85	82	42	42	38	43	38	29	29	20	21	21	39	43	38	48	40	43	37	35	50	63	55	47	28	60	63	61	59	46	44	60	5	54	30	41	42	90	32	24	24	24	100	70	70	45	45	45	45	45	24	24	24	32	32	32	24	24	24	50	24	24	48	24	24	48	24	24	40	24	24	70	70	69	29	30	40	20	20	0	40	40	40	32	30	30	20	0	20	20	20
1707241307	15	81	79	69	50	50	81	78	85	82	42	42	39	42	37	30	29	20	20	21	39	43	38	48	40	43	37	35	49	63	55	47	28	60	63	61	59	46	44	59	6	54	30	41	42	90	32	24	24	24	100	70	70	45	45	45	45	45	24	24	24	32	32	32	24	24	24	50	24	24	48	24	24	48	24	24	40	24	24	70	70	69	29	30	40	20	20	0	40	40	40	32	30	30	20	0	20	20	20
1707241415	14	81	80	64	49	49	80	78	85	81	42	42	39	43	37	29	28	20	19	18	38	42	38	48	40	43	36	35	48	61	55	47	27	60	62	59	59	46	44	59	6	54	30	41	42	89	32	23	24	24	100	69	70	45	45	44	45	45	24	24	23	32	32	32	24	24	24	50	24	24	48	24	24	48	24	24	40	24	24	70	70	69	29	30	40	20	20	0	40	40	40	32	30	30	20	0	20	20	20
1707241512	14	81	79	63	47	46	78	77	84	81	41	42	39	43	36	28	28	20	17	16	37	42	36	47	40	43	36	35	49	62	53	42	27	59	62	59	58	45	42	59	5	52	28	38	41	87	31	23	23	24	100	69	66	44	43	44	45	44	24	23	23	32	32	31	24	22	24	48	22	23	47	23	24	47	24	23	39	23	24	68	68	68	29	29	40	20	20	0	40	40	39	31	30	29	20	0	20	20	20
1707241556	13	81	79	62	47	47	78	74	84	81	41	42	39	43	36	28	27	20	17	16	38	42	36	46	38	43	36	35	48	62	53	41	27	59	62	59	58	44	42	59	5	52	28	38	41	87	31	23	23	24	100	68	65	43	43	43	45	44	24	23	22	32	31	31	24	23	24	48	22	23	47	23	24	46	24	22	38	23	23	68	68	67	28	29	40	20	20	0	40	40	38	30	30	30	19	0	19	20	19
1707241623	13	78	79	62	47	47	78	74	84	81	41	41	37	43	36	28	27	20	17	16	38	42	36	46	38	43	36	35	48	62	53	40	26	58	62	59	58	45	42	59	4	51	28	38	41	87	31	23	23	24	100	68	65	43	43	43	45	44	24	23	22	32	31	31	24	23	24	48	21	23	47	23	24	45	23	22	37	23	22	67	67	67	28	29	40	20	20	0	39	39	36	28	30	28	18	0	19	20	19
1707241717	13	78	79	61	48	46	78	74	84	79	41	41	37	43	36	28	26	20	18	15	38	42	36	46	38	43	36	33	48	62	52	40	26	58	62	59	57	45	42	59	3	48	26	37	42	85	31	23	23	24	100	67	65	43	42	43	45	44	23	23	22	32	31	31	24	23	24	47	21	22	47	23	24	45	22	22	36	22	22	67	67	67	28	29	38	20	20	0	37	37	33	25	30	28	15	0	19	19	19
1707241814	13	78	78	61	48	47	78	73	83	80	40	41	37	43	35	28	26	20	18	16	38	42	36	45	38	43	36	34	48	62	52	40	26	58	62	59	57	45	42	59	2	48	26	37	42	85	31	23	23	24	100	67	65	43	42	43	45	44	23	23	22	32	31	31	24	23	24	47	21	22	47	23	24	45	22	22	36	22	22	67	67	67	28	29	38	20	20	0	37	37	33	25	29	27	15	0	19	19	18
1707241848	13	78	79	61	48	46	78	73	83	79	40	41	37	43	36	28	26	20	18	15	38	42	36	45	38	43	36	33	48	62	52	40	26	58	62	59	57	45	42	59	1	48	26	37	42	85	31	23	23	24	100	67	65	43	42	43	45	44	23	23	22	32	31	31	24	23	24	47	21	22	47	23	24	45	22	22	36	22	22	67	67	67	28	29	38	20	20	0	37	37	33	25	29	27	15	0	19	19	18
1707242034	13	78	79	61	48	45	78	73	83	79	40	41	37	43	36	28	26	20	18	14	38	42	36	45	38	43	36	33	48	62	52	40	26	58	62	59	57	45	42	59	0	48	26	38	42	85	31	23	23	24	100	67	65	43	42	43	45	44	23	23	22	32	31	31	24	23	24	47	21	22	47	23	24	45	22	22	36	22	22	67	67	67	28	29	38	20	20	0	37	37	33	25	29	27	15	0	19	19	18
1707242132	13	78	79	61	48	45	78	73	83	79	41	41	37	43	36	28	26	20	18	14	38	42	36	45	38	42	36	33	48	62	51	41	26	58	62	59	57	45	42	59	0	48	26	38	42	85	31	23	23	24	100	67	65	43	42	43	45	44	23	23	22	32	31	31	24	23	24	47	21	22	47	23	24	45	22	22	36	22	22	67	67	67	28	29	38	20	20	0	37	37	33	25	29	27	15	0	19	19	18
1707242210	13	78	79	60	48	45	78	73	83	79	41	41	37	43	36	27	26	20	18	14	38	42	36	45	38	42	36	33	48	62	51	41	26	58	62	59	57	44	42	59	0	48	26	38	42	85	31	23	23	24	100	67	65	43	42	43	45	44	23	23	22	32	31	31	24	23	24	47	21	22	47	23	24	45	22	22	36	22	22	67	67	67	28	29	38	20	20	0	37	37	33	25	29	27	14	0	19	19	18
1707242307	13	78	79	60	48	45	78	73	83	79	41	41	37	43	36	27	26	20	18	14	38	42	36	45	38	42	36	33	48	62	51	41	26	58	62	59	57	44	42	59	0	48	26	38	42	85	31	23	23	24	100	67	65	43	42	43	45	44	23	23	22	32	31	31	24	23	24	47	21	22	47	23	24	45	22	22	36	22	22	67	67	67	28	29	38	20	20	0	37	37	33	25	29	26	14	0	19	19	18
1707242329	13	78	79	60	48	45	78	73	83	79	41	41	37	43	36	27	26	20	18	14	38	42	36	45	38	42	36	33	48	62	51	41	26	58	62	59	57	44	42	59	0	48	26	38	42	85	31	23	23	24	100	67	65	43	42	43	45	44	23	23	22	32	31	31	24	23	24	47	21	22	47	23	24	45	22	22	36	22	22	67	67	67	28	29	38	20	20	0	37	37	33	25	29	26	14	0	19	19	18
1707242343	13	78	79	60	48	45	78	73	83	79	41	41	37	43	36	27	26	20	18	14	38	42	36	45	38	42	36	33	48	62	51	41	26	58	62	59	57	44	42	59	0	48	26	38	42	85	31	23	23	24	100	67	65	43	42	43	45	44	23	23	22	32	31	31	24	23	24	47	21	22	47	23	24	45	22	22	36	22	22	67	67	67	28	29	38	20	20	0	37	37	33	25	29	26	14	0	19	19	18
1707250748	13	78	79	60	47	44	78	73	83	79	41	41	37	43	36	27	26	20	17	13	38	42	36	45	38	42	36	33	48	62	51	41	25	58	61	59	57	44	42	59	0	48	25	38	42	85	31	23	23	24	100	67	65	43	42	43	45	44	23	23	22	32	31	31	24	23	24	47	21	22	47	23	24	45	22	22	36	22	22	67	67	67	28	29	38	20	20	0	37	37	33	25	29	26	14	0	19	19	18
1707251027	13	72	77	59	45	43	75	68	83	78	41	40	32	42	35	26	26	19	16	12	38	40	35	43	35	42	35	33	46	59	48	39	25	57	61	58	56	37	42	58	0	64	37	31	35	84	31	22	23	24	100	67	65	43	42	43	45	44	23	23	22	32	31	31	24	23	24	47	21	22	47	23	24	42	20	21	32	19	21	67	67	67	28	29	35	20	20	0	35	35	29	21	28	24	14	0	19	19	17
1707251309	13	69	74	54	41	42	74	56	83	75	41	37	32	41	33	24	23	17	14	12	37	39	35	41	25	42	32	33	45	55	48	34	22	57	59	56	56	30	35	57	0	49	28	26	31	82	30	21	23	24	100	66	65	43	42	43	44	44	23	24	22	32	31	31	23	22	24	44	20	20	43	19	24	41	20	20	30	18	20	67	67	67	28	29	33	20	20	0	31	31	25	17	26	16	10	0	19	18	16
1707251351	13	69	74	54	41	42	73	56	83	75	41	37	32	41	33	24	23	17	14	12	37	39	34	41	25	42	32	33	45	55	47	34	22	57	59	56	56	30	35	57	0	48	28	26	31	82	30	21	23	24	100	66	65	43	42	43	44	44	23	24	22	32	31	31	23	22	24	44	20	20	43	19	24	41	20	20	30	18	20	67	67	67	28	29	33	20	20	0	31	31	25	17	26	16	10	0	19	18	16
1707251441	13	63	74	54	36	41	72	52	82	75	40	32	31	41	33	24	23	13	13	12	36	39	33	39	23	42	32	33	44	54	43	33	19	57	58	55	55	27	34	56	0	40	24	26	30	80	30	21	21	24	100	66	65	44	41	43	44	44	23	24	22	32	31	31	23	22	24	43	20	19	41	19	22	40	19	20	29	17	20	67	67	66	28	28	31	20	20	0	29	29	24	16	25	14	10	0	19	18	16
1707251521	13	59	73	53	34	41	72	49	82	74	40	29	30	40	33	23	23	12	12	12	36	39	33	37	22	42	32	32	43	54	39	31	17	55	58	55	55	26	34	56	0	40	23	23	28	77	29	20	20	24	99	64	64	43	40	43	43	43	23	23	22	31	31	30	22	22	24	41	20	17	39	17	22	39	18	20	27	15	20	67	67	65	28	27	28	20	20	0	27	27	23	15	24	13	10	0	19	18	16
1707251605	13	56	74	51	33	40	72	46	79	72	38	27	29	41	33	22	22	12	11	12	35	39	33	36	20	41	32	30	39	54	39	29	16	55	58	55	54	24	32	53	1	32	18	20	26	72	29	20	17	24	99	63	63	42	40	42	43	43	23	22	21	31	31	30	22	22	24	39	19	16	38	16	22	39	18	20	25	13	20	67	67	63	28	25	27	20	20	0	26	26	21	13	24	12	10	0	19	18	16
1707251658	13	50	72	49	28	37	70	42	78	71	37	24	26	40	32	21	21	8	10	11	33	39	31	34	18	41	31	30	36	54	36	19	13	55	58	55	52	24	28	52	1	18	15	16	23	55	23	20	10	24	99	56	61	39	39	40	42	41	23	19	19	29	30	30	21	22	24	32	16	12	34	13	21	37	19	17	22	11	19	67	67	60	28	19	27	21	21	0	23	23	18	10	24	12	10	0	19	18	16
1707251727	13	50	72	49	28	37	70	42	78	71	37	24	26	40	32	21	21	8	10	11	33	39	31	34	18	41	31	30	36	54	36	20	13	55	58	55	52	24	28	52	0	18	15	16	23	54	23	19	10	24	99	56	61	39	39	40	42	41	23	19	19	29	30	30	21	22	24	32	16	12	34	13	21	37	19	17	22	11	19	67	67	60	28	19	27	21	21	0	23	23	18	10	24	12	10	0	19	18	16
1707251900	13	50	72	49	28	37	70	42	78	71	37	24	26	40	32	21	21	8	10	11	33	39	31	34	18	41	31	30	34	54	36	21	13	55	58	55	52	24	28	52	1	17	15	16	22	54	23	19	10	24	99	56	61	39	39	40	42	41	23	19	19	29	30	30	21	22	24	32	16	12	34	13	21	37	19	17	22	11	19	67	67	60	28	19	27	21	21	0	23	23	18	10	24	12	10	0	19	18	16
1707251927	13	50	72	49	28	37	70	42	78	71	37	24	26	40	32	21	21	8	10	11	33	39	31	34	18	41	31	30	34	54	36	21	13	55	58	55	52	24	28	52	1	17	15	16	22	54	23	19	10	24	99	56	61	39	39	40	42	41	23	19	19	29	30	30	21	22	24	32	16	12	34	13	21	37	19	17	22	11	19	67	67	60	28	19	27	21	21	0	23	23	18	10	24	12	10	0	19	18	16
1707252025	13	50	72	49	28	37	70	42	78	71	37	24	26	40	32	21	21	8	10	11	33	39	31	34	18	41	31	30	34	54	36	21	13	55	58	55	52	24	28	52	1	17	14	16	22	54	23	19	10	24	99	56	61	39	39	40	42	41	23	19	19	29	30	30	21	22	24	32	16	12	34	13	21	36	19	16	22	11	19	67	67	60	28	19	27	21	21	0	23	23	18	10	24	12	10	0	19	18	16
1707252100	13	50	72	49	28	37	70	42	78	71	37	24	26	40	32	21	21	8	10	11	33	39	31	34	18	41	31	30	34	54	36	21	13	55	58	55	52	24	28	52	1	17	14	16	22	54	23	19	10	24	99	56	61	39	39	40	42	41	23	19	19	29	30	30	21	22	24	33	16	13	34	13	21	36	19	16	22	11	19	67	67	60	28	19	27	21	21	0	23	23	18	10	24	12	10	0	19	18	16
1707252124	13	50	72	49	28	37	70	42	78	71	37	24	26	40	32	21	21	8	10	11	33	39	31	34	18	41	31	30	34	54	36	21	13	55	58	55	52	24	28	52	1	17	14	16	22	54	23	19	10	24	99	56	61	39	39	40	42	41	23	19	19	29	30	30	21	22	24	33	16	13	34	13	21	36	19	16	22	11	19	67	67	60	28	19	27	21	21	0	23	23	18	10	24	12	10	0	19	18	16
1707252143	13	50	72	49	28	37	70	42	78	71	37	24	26	40	32	21	21	8	10	11	33	39	31	34	18	41	31	30	34	54	36	21	13	55	58	55	52	24	28	52	1	18	14	16	22	54	23	19	10	24	99	56	61	39	39	40	42	41	23	19	19	29	30	30	21	22	24	33	16	13	34	13	21	36	19	16	22	11	19	67	67	60	28	19	27	21	21	0	23	23	18	10	24	12	10	0	19	18	16
